n,scheme,trial,latency_us
128,lattice_only,81,41
128,hybrid,82,46
128,hash_only,82,1
128,lattice_only,82,44
128,hybrid,83,47
128,hash_only,83,1
128,lattice_only,83,42
128,hybrid,84,47
128,hash_only,84,1
128,lattice_only,84,43
128,hybrid,85,45
128,hash_only,85,1
128,lattice_only,85,43
128,hybrid,86,45
128,hash_only,86,1
128,lattice_only,86,43
128,hybrid,87,45
128,hash_only,87,1
128,lattice_only,87,42
128,hybrid,88,45
128,hash_only,88,1
128,lattice_only,88,43
128,hybrid,89,50
128,hash_only,89,1
128,lattice_only,89,41
128,hybrid,90,44
128,hash_only,90,1
128,lattice_only,90,66
128,hybrid,91,46
128,hash_only,91,1
128,lattice_only,91,42
128,hybrid,92,45
128,hash_only,92,1
128,lattice_only,92,44
128,hybrid,93,46
128,hash_only,93,1
128,lattice_only,93,43
128,hybrid,94,46
128,hash_only,94,1
128,lattice_only,94,43
128,hybrid,95,45
128,hash_only,95,1
128,lattice_only,95,41
128,hybrid,96,44
128,hash_only,96,1
128,lattice_only,96,41
128,hybrid,97,46
128,hash_only,97,1
128,lattice_only,97,41
128,hybrid,98,44
128,hash_only,98,1
128,lattice_only,98,43
128,hybrid,99,68
128,hash_only,99,1
128,lattice_only,99,42
128,hybrid,100,46
128,hash_only,100,1
128,lattice_only,100,43
128,hybrid,101,46
128,hash_only,101,1
128,lattice_only,101,43
128,hybrid,102,46
128,hash_only,102,1
128,lattice_only,102,41
128,hybrid,103,46
128,hash_only,103,1
128,lattice_only,103,41
128,hybrid,104,44
128,hash_only,104,1
128,lattice_only,104,42
128,hybrid,105,44
128,hash_only,105,1
128,lattice_only,105,85
128,hybrid,106,47
128,hash_only,106,1
128,lattice_only,106,44
128,hybrid,107,75
128,hash_only,107,1
128,lattice_only,107,43
128,hybrid,108,46
128,hash_only,108,1
128,lattice_only,108,41
128,hybrid,109,46
128,hash_only,109,1
128,lattice_only,109,43
128,hybrid,110,45
128,hash_only,110,1
128,lattice_only,110,42
128,hybrid,111,46
128,hash_only,111,1
128,lattice_only,111,41
128,hybrid,112,44
128,hash_only,112,1
128,lattice_only,112,43
128,hybrid,113,45
128,hash_only,113,1
128,lattice_only,113,48
128,hybrid,114,46
128,hash_only,114,1
128,lattice_only,114,41
128,hybrid,115,44
128,hash_only,115,1
128,lattice_only,115,42
128,hybrid,116,46
128,hash_only,116,1
128,lattice_only,116,43
128,hybrid,117,45
128,hash_only,117,1
128,lattice_only,117,43
128,hybrid,118,45
128,hash_only,118,1
128,lattice_only,118,43
128,hybrid,119,45
128,hash_only,119,1
128,lattice_only,119,41
128,hybrid,120,46
128,hash_only,120,1
128,lattice_only,120,41
128,hybrid,121,46
128,hash_only,121,1
128,lattice_only,121,41
128,hybrid,122,50
128,hash_only,122,1
128,lattice_only,122,41
128,hybrid,123,44
128,hash_only,123,1
128,lattice_only,123,66
128,hybrid,124,47
128,hash_only,124,1
128,lattice_only,124,41
128,hybrid,125,45
128,hash_only,125,1
128,lattice_only,125,43
128,hybrid,126,46
128,hash_only,126,1
128,lattice_only,126,42
128,hybrid,127,44
128,hash_only,127,1
128,lattice_only,127,40
128,hybrid,128,46
128,hash_only,128,1
128,lattice_only,128,43
128,hybrid,129,45
128,hash_only,129,1
128,lattice_only,129,41
128,hybrid,130,50
128,hash_only,130,1
128,lattice_only,130,42
128,hybrid,131,51
128,hash_only,131,1
128,lattice_only,131,43
128,hybrid,132,69
