n,load_rate,p99_latency_ms,jitter,sla_breach
128,100,0.09760832938161834,0.13926430298323572,false
128,500,0.09866552061709921,0.13287883412308715,false
128,1000,0.12563397038285468,0.1878945068547099,false
128,5000,0.2950933989819811,0.3609148421377211,false
128,10000,0.7319071361033421,0.3721506873434426,false
128,20000,17.339199999999998,0.35281098635660113,true
256,100,0.428404103365266,0.22101890120493584,false
256,500,0.4305703530614245,0.1832622434891333,false
256,1000,0.5609254301616573,0.22754356640565765,false
256,5000,58.836299999999994,0.2775510618185249,true
256,10000,55.86420000000001,0.25880135919703506,true
256,20000,47.2008,0.30759427996404076,true
512,100,0.9225843335642969,0.04346790666315521,false
512,500,1.3552661148924279,0.038268084315799686,true
512,1000,3.8525126792216158,0.044864723709362196,true
512,5000,85.157,0.04008395859743533,true
512,10000,85.3305,0.0410620046542378,true
512,20000,88.824,0.04672230554394421,true
768,100,0.8197877252068773,0.13148702707480758,false
768,500,1.0209476903729147,0.1680051067987312,true
768,1000,1.2866851779193695,0.12506234349051024,true
768,5000,72.853,0.17825783060678996,true
768,10000,124.0901,0.26143740792085085,true
768,20000,62.1144,0.11159997042128235,true
1024,100,1.618420569365785,0.18440581478485896,true
1024,500,2.439988681692899,0.21415813341103213,true
1024,1000,5.184542819003058,0.18901028499005773,true
1024,5000,164.9345,0.23931399202849646,true
1024,10000,88.1966,0.10333601650344175,true
1024,20000,114.21890000000002,0.14710240857226106,true
