n,q,sigma,scheme,trial,latency_us
512,3329,1,hybrid,84,493
512,3329,1,lattice_only,84,512
512,3329,1,hybrid,85,529
512,3329,1,lattice_only,85,559
512,3329,1,hybrid,86,499
512,3329,1,lattice_only,86,507
512,3329,1,hybrid,87,498
512,3329,1,lattice_only,87,507
512,3329,1,hybrid,88,498
512,3329,1,lattice_only,88,547
512,3329,1,hybrid,89,501
512,3329,1,lattice_only,89,507
512,3329,1,hybrid,90,506
512,3329,1,lattice_only,90,481
512,3329,1,hybrid,91,524
512,3329,1,lattice_only,91,480
512,3329,1,hybrid,92,523
512,3329,1,lattice_only,92,518
512,3329,1,hybrid,93,526
512,3329,1,lattice_only,93,480
512,3329,1,hybrid,94,523
512,3329,1,lattice_only,94,480
512,3329,1,hybrid,95,523
512,3329,1,lattice_only,95,480
512,3329,1,hybrid,96,516
512,3329,1,lattice_only,96,536
512,3329,1,hybrid,97,523
512,3329,1,lattice_only,97,485
512,3329,1,hybrid,98,516
512,3329,1,lattice_only,98,487
512,3329,1,hybrid,99,521
512,3329,1,lattice_only,99,485
512,3329,1,hybrid,100,574
512,3329,1,lattice_only,100,535
512,3329,1,hybrid,101,493
512,3329,1,lattice_only,101,509
512,3329,1,hybrid,102,492
512,3329,1,lattice_only,102,509
512,3329,1,hybrid,103,493
512,3329,1,lattice_only,103,536
512,3329,1,hybrid,104,540
512,3329,1,lattice_only,104,511
512,3329,1,hybrid,105,498
512,3329,1,lattice_only,105,516
512,3329,1,hybrid,106,499
512,3329,1,lattice_only,106,514
512,3329,1,hybrid,107,497
512,3329,1,lattice_only,107,551
512,3329,1,hybrid,108,532
512,3329,1,lattice_only,108,480
512,3329,1,hybrid,109,524
512,3329,1,lattice_only,109,479
512,3329,1,hybrid,110,524
512,3329,1,lattice_only,110,480
512,3329,1,hybrid,111,527
512,3329,1,lattice_only,111,516
512,3329,1,hybrid,112,528
512,3329,1,lattice_only,112,487
512,3329,1,hybrid,113,517
512,3329,1,lattice_only,113,485
512,3329,1,hybrid,114,519
512,3329,1,lattice_only,114,485
512,3329,1,hybrid,115,558
512,3329,1,lattice_only,115,502
512,3329,1,hybrid,116,519
512,3329,1,lattice_only,116,486
512,3329,1,hybrid,117,523
512,3329,1,lattice_only,117,516
512,3329,1,hybrid,118,493
512,3329,1,lattice_only,118,511
512,3329,1,hybrid,119,532
512,3329,1,lattice_only,119,515
512,3329,1,hybrid,120,492
512,3329,1,lattice_only,120,513
512,3329,1,hybrid,121,492
512,3329,1,lattice_only,121,513
512,3329,1,hybrid,122,498
512,3329,1,lattice_only,122,507
512,3329,1,hybrid,123,541
512,3329,1,lattice_only,123,507
512,3329,1,hybrid,124,498
512,3329,1,lattice_only,124,504
512,3329,1,hybrid,125,499
512,3329,1,lattice_only,125,507
512,3329,1,hybrid,126,498
512,3329,1,lattice_only,126,552
512,3329,1,hybrid,127,542
512,3329,1,lattice_only,127,480
512,3329,1,hybrid,128,525
512,3329,1,lattice_only,128,480
512,3329,1,hybrid,129,525
512,3329,1,lattice_only,129,479
512,3329,1,hybrid,130,607
512,3329,1,lattice_only,130,530
512,3329,1,hybrid,131,520
512,3329,1,lattice_only,131,486
512,3329,1,hybrid,132,523
512,3329,1,lattice_only,132,491
512,3329,1,hybrid,133,519
512,3329,1,lattice_only,133,485
512,3329,1,hybrid,134,606
512,3329,1,lattice_only,134,518
512,3329,1,hybrid,135,492
512,3329,1,lattice_only,135,513
512,3329,1,hybrid,136,493
512,3329,1,lattice_only,136,513
512,3329,1,hybrid,137,493
512,3329,1,lattice_only,137,504
512,3329,1,hybrid,138,538
512,3329,1,lattice_only,138,511
512,3329,1,hybrid,139,498
512,3329,1,lattice_only,139,506
512,3329,1,hybrid,140,498
512,3329,1,lattice_only,140,506
512,3329,1,hybrid,141,499
512,3329,1,lattice_only,141,542
512,3329,1,hybrid,142,529
512,3329,1,lattice_only,142,480
512,3329,1,hybrid,143,525
512,3329,1,lattice_only,143,480
512,3329,1,hybrid,144,525
512,3329,1,lattice_only,144,480
512,3329,1,hybrid,145,529
512,3329,1,lattice_only,145,520
512,3329,1,hybrid,146,528
512,3329,1,lattice_only,146,486
512,3329,1,hybrid,147,520
512,3329,1,lattice_only,147,486
512,3329,1,hybrid,148,521
512,3329,1,lattice_only,148,486
512,3329,1,hybrid,149,554
512,3329,1,lattice_only,149,488
512,3329,1,hybrid,150,525
512,3329,1,lattice_only,150,486
512,3329,1,hybrid,151,518
512,3329,1,lattice_only,151,511
512,3329,1,hybrid,152,492
512,3329,1,lattice_only,152,511
512,3329,1,hybrid,153,564
512,3329,1,lattice_only,153,517
512,3329,1,hybrid,154,492
512,3329,1,lattice_only,154,517
512,3329,1,hybrid,155,500
512,3329,1,lattice_only,155,512
512,3329,1,hybrid,156,499
512,3329,1,lattice_only,156,506
512,3329,1,hybrid,157,499
512,3329,1,lattice_only,157,513
512,3329,1,hybrid,158,498
512,3329,1,lattice_only,158,509
512,3329,1,hybrid,159,516
512,3329,1,lattice_only,159,481
512,3329,1,hybrid,160,533
512,3329,1,lattice_only,160,523
512,3329,1,hybrid,161,530
512,3329,1,lattice_only,161,480
512,3329,1,hybrid,162,530
512,3329,1,lattice_only,162,480
512,3329,1,hybrid,163,524
512,3329,1,lattice_only,163,486
512,3329,1,hybrid,164,520
512,3329,1,lattice_only,164,527
512,3329,1,hybrid,165,527
512,3329,1,lattice_only,165,485
512,3329,1,hybrid,166,520
512,3329,1,lattice_only,166,485
512,3329,1,hybrid,167,518
512,3329,1,lattice_only,167,492
512,3329,1,hybrid,168,578
512,3329,1,lattice_only,168,514
512,3329,1,hybrid,169,492
512,3329,1,lattice_only,169,514
512,3329,1,hybrid,170,493
512,3329,1,lattice_only,170,512
512,3329,1,hybrid,171,493
512,3329,1,lattice_only,171,512
512,3329,1,hybrid,172,548
512,3329,1,lattice_only,172,511
512,3329,1,hybrid,173,507
512,3329,1,lattice_only,173,504
512,3329,1,hybrid,174,500
512,3329,1,lattice_only,174,509
512,3329,1,hybrid,175,498
512,3329,1,lattice_only,175,545
512,3329,1,hybrid,176,528
512,3329,1,lattice_only,176,480
512,3329,1,hybrid,177,523
512,3329,1,lattice_only,177,480
512,3329,1,hybrid,178,521
512,3329,1,lattice_only,178,479
512,3329,1,hybrid,179,525
512,3329,1,lattice_only,179,516
512,3329,1,hybrid,180,525
512,3329,1,lattice_only,180,480
512,3329,1,hybrid,181,522
512,3329,1,lattice_only,181,486
512,3329,1,hybrid,182,516
512,3329,1,lattice_only,182,485
512,3329,1,hybrid,183,519
512,3329,1,lattice_only,183,489
512,3329,1,hybrid,184,522
512,3329,1,lattice_only,184,485
512,3329,1,hybrid,185,518
512,3329,1,lattice_only,185,485
512,3329,1,hybrid,186,519
512,3329,1,lattice_only,186,485
512,3329,1,hybrid,187,530
512,3329,1,lattice_only,187,515
512,3329,1,hybrid,188,492
512,3329,1,lattice_only,188,530
512,3329,1,hybrid,189,493
512,3329,1,lattice_only,189,512
512,3329,1,hybrid,190,674
512,3329,1,lattice_only,190,649
512,3329,1,hybrid,191,536
512,3329,1,lattice_only,191,481
512,3329,1,hybrid,192,527
512,3329,1,lattice_only,192,480
512,3329,1,hybrid,193,529
512,3329,1,lattice_only,193,480
512,3329,1,hybrid,194,526
512,3329,1,lattice_only,194,524
512,3329,1,hybrid,195,529
512,3329,1,lattice_only,195,511
512,3329,1,hybrid,196,519
512,3329,1,lattice_only,196,514
512,3329,1,hybrid,197,526
512,3329,1,lattice_only,197,486
512,3329,1,hybrid,198,534
512,3329,1,lattice_only,198,518
512,3329,1,hybrid,199,493
512,3329,1,lattice_only,199,514
512,3329,1,hybrid,200,493
512,3329,1,lattice_only,200,510
