mode,n,mean_ms
cold_cache,256,1.3555434970000002
warm_cache,256,0.14362116300000005
cold_cache,512,4.105870194000004
warm_cache,512,0.4751892799999993
cold_cache,768,8.347547361
warm_cache,768,1.021091938000001
cold_cache,1024,14.726863525000002
warm_cache,1024,1.7720442349999999
