sigma,mean_ms,p99_ms,ci95_ms
1,0.48411636650000045,0.648827,0.001768308261234772
2,0.47778273049999975,0.578457,0.0012998703592709592
3.2,0.4783373159999997,0.581772,0.0013822760392289558
4.5,0.4819522650000002,0.618243,0.001715657502653489
6,0.4791377200000004,0.60211,0.0016147310235039335
