n,rounds,time_ms,size_bytes
128,1,0.0837292,3072
128,10,0.8308064800000001,30720
256,1,0.26461978,6144
256,10,2.6478601299999998,61440
512,1,0.9364101199999999,12288
512,10,9.32648896,122880
768,1,0.54553165,18432
768,10,6.0913781700000005,184320
1024,1,0.8140168099999999,24576
1024,10,7.82208358,245760
